## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT COLO829BL.sliced.bam --OUTPUT COLO829BL.dedup.bam --METRICS_FILE COLO829BL.dedup.metrics.txt --REMOVE_DUPLICATES false --VALIDATION_STRINGENCY LENIENT --CREATE_INDEX false --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 09 13:47:27 CEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
COLO829R	118990	15025566	165398	118990	23019	1326430	300993	0.088693	100750012

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.018956	12387649	0	12646838
2.0	1.896736	926916	286078	701429
3.0	2.652901	96732	7113	67593
4.0	3.3043	24603	209	21328
5.0	3.865449	11570	12	11024
6.0	4.34885	6023	1	5786
7.0	4.765277	3264	0	3088
8.0	5.124009	1792	0	1685
9.0	5.433038	947	0	846
10.0	5.699252	502	1	467
11.0	5.928582	307	0	279
12.0	6.126139	191	0	181
13.0	6.296324	111	0	99
14.0	6.44293	78	0	70
15.0	6.569225	62	0	49
16.0	6.678021	42	0	37
17.0	6.771743	28	0	31
18.0	6.852481	18	0	13
19.0	6.922032	17	0	20
20.0	6.981947	17	0	13
21.0	7.033561	12	0	8
22.0	7.078024	5	0	2
23.0	7.116327	0	0	0
24.0	7.149323	2	0	3
25.0	7.177747	2	0	1
26.0	7.202233	1	0	2
27.0	7.223327	3	0	2
28.0	7.241498	2	0	2
29.0	7.257151	0	0	3
30.0	7.270636	1	0	0
31.0	7.282252	2	0	1
32.0	7.292259	1	0	1
33.0	7.30088	1	0	0
34.0	7.308306	0	0	0
35.0	7.314703	0	0	0
36.0	7.320214	0	0	0
37.0	7.324962	0	0	0
38.0	7.329051	0	0	0
39.0	7.332574	1	0	1
40.0	7.335609	0	0	0
41.0	7.338224	0	0	0
42.0	7.340476	0	0	0
43.0	7.342416	0	0	0
44.0	7.344087	1	0	1
45.0	7.345527	0	0	0
46.0	7.346767	0	0	0
47.0	7.347836	0	0	0
48.0	7.348756	0	0	0
49.0	7.349549	0	0	0
50.0	7.350232	0	0	0
51.0	7.350821	0	0	0
52.0	7.351328	0	0	0
53.0	7.351764	0	0	0
54.0	7.35214	0	0	0
55.0	7.352464	0	0	0
56.0	7.352744	0	0	0
57.0	7.352984	0	0	0
58.0	7.353191	0	0	0
59.0	7.35337	0	0	0
60.0	7.353523	0	0	0
61.0	7.353656	0	0	0
62.0	7.35377	0	0	0
63.0	7.353868	1	0	1
64.0	7.353953	0	0	0
65.0	7.354026	0	0	0
66.0	7.354089	0	0	0
67.0	7.354143	0	0	0
68.0	7.354189	0	0	0
69.0	7.35423	0	0	0
70.0	7.354264	0	0	0
71.0	7.354294	0	0	0
72.0	7.35432	1	0	1
73.0	7.354342	0	0	0
74.0	7.354361	0	0	0
75.0	7.354377	0	0	0
76.0	7.354391	0	0	0
77.0	7.354404	0	0	0
78.0	7.354414	0	0	0
79.0	7.354423	0	0	0
80.0	7.354431	0	0	0
81.0	7.354438	0	0	0
82.0	7.354443	0	0	0
83.0	7.354448	0	0	0
84.0	7.354453	0	0	0
85.0	7.354456	0	0	0
86.0	7.35446	0	0	0
87.0	7.354462	0	0	0
88.0	7.354465	0	0	0
89.0	7.354467	0	0	0
90.0	7.354468	0	0	0
91.0	7.35447	0	0	0
92.0	7.354471	0	0	0
93.0	7.354472	0	0	0
94.0	7.354473	0	0	0
95.0	7.354474	0	0	0
96.0	7.354475	0	0	0
97.0	7.354475	0	0	0
98.0	7.354476	0	0	0
99.0	7.354476	0	0	0
100.0	7.354477	0	0	0
108.0	0	1	0	1
158.0	0	1	0	1

