## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT COLO829R.sliced.bam --OUTPUT COLO829R.dedup.bam --METRICS_FILE COLO829R.dedup.metrics.txt --REMOVE_DUPLICATES false --VALIDATION_STRINGENCY LENIENT --CREATE_INDEX false --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jul 10 17:55:30 CEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
COLO829R	595449	14787337	165398	118990	384291	1326430	300993	0.100668	97436251

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.019242	12387649	0	12646838
2.0	1.894965	926916	286078	701429
3.0	2.647378	96732	7113	67593
4.0	3.293845	24603	209	21328
5.0	3.849283	11570	12	11024
6.0	4.32651	6023	1	5786
7.0	4.73654	3264	0	3088
8.0	5.088833	1792	0	1685
9.0	5.39152	947	0	846
10.0	5.651587	502	1	467
11.0	5.875033	307	0	279
12.0	6.067016	191	0	181
13.0	6.231966	111	0	99
14.0	6.37369	78	0	70
15.0	6.495458	62	0	49
16.0	6.600079	42	0	37
17.0	6.689969	28	0	31
18.0	6.767202	18	0	13
19.0	6.83356	17	0	20
20.0	6.890573	17	0	13
21.0	6.939559	12	0	8
22.0	6.981647	5	0	2
23.0	7.017809	0	0	0
24.0	7.048879	2	0	3
25.0	7.075574	2	0	1
26.0	7.09851	1	0	2
27.0	7.118216	3	0	2
28.0	7.135148	2	0	2
29.0	7.149695	0	0	3
30.0	7.162194	1	0	0
31.0	7.172933	2	0	1
32.0	7.18216	1	0	1
33.0	7.190088	1	0	0
34.0	7.196899	0	0	0
35.0	7.202752	0	0	0
36.0	7.20778	0	0	0
37.0	7.2121	0	0	0
38.0	7.215812	0	0	0
39.0	7.219001	1	0	1
40.0	7.221741	0	0	0
41.0	7.224096	0	0	0
42.0	7.226118	0	0	0
43.0	7.227856	0	0	0
44.0	7.22935	1	0	1
45.0	7.230633	0	0	0
46.0	7.231735	0	0	0
47.0	7.232682	0	0	0
48.0	7.233496	0	0	0
49.0	7.234195	0	0	0
50.0	7.234796	0	0	0
51.0	7.235312	0	0	0
52.0	7.235755	0	0	0
53.0	7.236136	0	0	0
54.0	7.236464	0	0	0
55.0	7.236745	0	0	0
56.0	7.236986	0	0	0
57.0	7.237194	0	0	0
58.0	7.237373	0	0	0
59.0	7.237526	0	0	0
60.0	7.237657	0	0	0
61.0	7.237771	0	0	0
62.0	7.237868	0	0	0
63.0	7.237951	1	0	1
64.0	7.238023	0	0	0
65.0	7.238085	0	0	0
66.0	7.238138	0	0	0
67.0	7.238183	0	0	0
68.0	7.238222	0	0	0
69.0	7.238256	0	0	0
70.0	7.238285	0	0	0
71.0	7.23831	0	0	0
72.0	7.238331	1	0	1
73.0	7.238349	0	0	0
74.0	7.238365	0	0	0
75.0	7.238379	0	0	0
76.0	7.23839	0	0	0
77.0	7.2384	0	0	0
78.0	7.238409	0	0	0
79.0	7.238416	0	0	0
80.0	7.238422	0	0	0
81.0	7.238428	0	0	0
82.0	7.238433	0	0	0
83.0	7.238437	0	0	0
84.0	7.23844	0	0	0
85.0	7.238443	0	0	0
86.0	7.238446	0	0	0
87.0	7.238448	0	0	0
88.0	7.23845	0	0	0
89.0	7.238451	0	0	0
90.0	7.238453	0	0	0
91.0	7.238454	0	0	0
92.0	7.238455	0	0	0
93.0	7.238456	0	0	0
94.0	7.238456	0	0	0
95.0	7.238457	0	0	0
96.0	7.238458	0	0	0
97.0	7.238458	0	0	0
98.0	7.238459	0	0	0
99.0	7.238459	0	0	0
100.0	7.238459	0	0	0
108.0	0	1	0	1
158.0	0	1	0	1

