## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT COLO829T.sliced.bam --OUTPUT COLO829T.dedup.bam --METRICS_FILE COLO829T.dedup.metrics.txt --REMOVE_DUPLICATES false --VALIDATION_STRINGENCY LENIENT --CREATE_INDEX false --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jul 10 18:03:02 CEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
COLO829T	1061589	26193338	276900	243973	699485	2124236	272302	0.092575	172657633

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.009729	22474728	0	22712164
2.0	1.877328	1373195	265306	1163275
3.0	2.622804	119422	3398	95042
4.0	3.263347	34829	64	32632
5.0	3.813728	21579	2	21298
6.0	4.286636	14901	0	14795
7.0	4.692979	10126	0	10055
8.0	5.042124	6967	0	6875
9.0	5.342124	4574	0	4457
10.0	5.599896	2951	0	2897
11.0	5.821384	1902	0	1816
12.0	6.011696	1225	0	1219
13.0	6.175219	861	0	817
14.0	6.315725	498	0	487
15.0	6.436453	337	0	317
16.0	6.540188	217	0	210
17.0	6.62932	185	0	169
18.0	6.705907	121	0	112
19.0	6.771713	85	0	83
20.0	6.828256	72	0	73
21.0	6.876841	57	0	57
22.0	6.918586	49	0	41
23.0	6.954456	35	0	33
24.0	6.985276	24	0	25
25.0	7.011759	20	0	16
26.0	7.034513	16	0	19
27.0	7.054065	16	0	15
28.0	7.070864	15	0	13
29.0	7.085299	9	0	6
30.0	7.097702	7	0	10
31.0	7.108359	11	0	7
32.0	7.117517	5	0	9
33.0	7.125385	12	0	12
34.0	7.132145	4	0	3
35.0	7.137954	4	0	2
36.0	7.142946	6	0	7
37.0	7.147234	2	0	2
38.0	7.150919	5	0	3
39.0	7.154086	3	0	5
40.0	7.156806	3	0	2
41.0	7.159144	2	0	1
42.0	7.161153	1	0	2
43.0	7.162879	6	0	4
44.0	7.164362	0	0	1
45.0	7.165636	1	0	3
46.0	7.166731	3	0	1
47.0	7.167671	0	0	1
48.0	7.16848	1	0	0
49.0	7.169174	1	0	0
50.0	7.169771	0	0	0
51.0	7.170284	0	0	0
52.0	7.170724	0	0	0
53.0	7.171103	0	0	0
54.0	7.171428	0	0	0
55.0	7.171708	0	0	0
56.0	7.171948	0	0	0
57.0	7.172154	0	0	0
58.0	7.172332	1	0	1
59.0	7.172484	0	0	0
60.0	7.172615	0	0	0
61.0	7.172727	1	0	1
62.0	7.172824	0	0	0
63.0	7.172907	0	0	0
64.0	7.172978	0	0	0
65.0	7.17304	0	0	0
66.0	7.173092	0	0	0
67.0	7.173138	0	0	0
68.0	7.173177	0	0	0
69.0	7.17321	0	0	0
70.0	7.173239	0	0	0
71.0	7.173263	0	0	0
72.0	7.173285	0	0	0
73.0	7.173303	0	0	0
74.0	7.173318	1	0	1
75.0	7.173332	0	0	0
76.0	7.173343	0	0	0
77.0	7.173353	0	0	0
78.0	7.173362	0	0	0
79.0	7.173369	0	0	0
80.0	7.173376	0	0	0
81.0	7.173381	0	0	0
82.0	7.173386	0	0	0
83.0	7.17339	0	0	0
84.0	7.173393	0	0	0
85.0	7.173396	0	0	0
86.0	7.173399	0	0	0
87.0	7.173401	0	0	0
88.0	7.173403	0	0	0
89.0	7.173404	0	0	0
90.0	7.173406	0	0	0
91.0	7.173407	1	0	1
92.0	7.173408	0	0	0
93.0	7.173409	0	0	0
94.0	7.173409	0	0	0
95.0	7.17341	2	0	2
96.0	7.173411	0	0	0
97.0	7.173411	0	0	0
98.0	7.173411	0	0	0
99.0	7.173412	0	0	0
100.0	7.173412	0	0	0
125.0	0	1	0	1
151.0	0	1	0	1
154.0	0	1	0	1

